Country,Year,Disease_Category,Disease_Name,Prevalence_Rate,Incidence_Rate,Mortality_Rate,Age_Group,Gender,Population_Affected,Healthcare_Access,Doctors_Per_1000,Hospital_Beds_Per_1000,Treatment_Type,Avg_Treatment_Cost_USD,Availability_of_Vaccines_Treatment,Recovery_Rate,DALYs,Improvement_in_5_Years,Per_Capita_Income_USD,Education_Index,Urbanization_Rate
Australia,2016,Respiratory,Pneumonia,7.86693502268885,5.952729392449125,3.4759574802894,36-50,Female,977576,49.56349891877062,7.363647617507028,6.642411833217573,Therapy,34646.96632760375,Yes,67.88765193162585,4381.421236410697,11.08005634114425,70431.4051767875,0.6540674563629546,53.24651695926763
South Korea,2020,Respiratory,Pneumonia,13.828824061202925,9.694253656313311,7.221405118209049,36-50,Other,7747,60.00665534113973,2.0977870069218434,7.843045872458257,Therapy,15067.105366913993,No,68.66332567525262,5975.784370376069,16.402112461138962,55682.530219915214,0.8024158536901205,46.79266134410615
Spain,2019,Cardiovascular,Heart Disease,9.630289313237723,1.6520174296165224,3.6905784477625563,0-18,Female,243784,58.012158960062266,6.712215153811853,2.7971961433602566,Therapy,39819.86408031925,No,91.3371496884689,1940.9654364346854,16.714489269957145,44440.31247558441,0.8560759549755286,79.79201450418907
UK,2023,Infectious,HIV,2.676545214646192,8.543780168481607,1.6568019189500982,36-50,Other,976500,42.26032240621789,1.0879989396233685,4.589653290822982,Medication,5351.646225511995,No,65.15397724183738,2521.7987938539395,1.7070160447715077,67331.27899024372,0.3352374102931817,80.93620562177988
Australia,2010,Respiratory,Bronchitis,10.273078178529447,7.055225997482392,1.3629623763732308,65+,Other,533224,65.49184325438691,7.3934758452458205,14.78233648794363,Therapy,31288.208546821028,No,82.10452187226724,5531.008968731972,16.993561352375014,78213.91942393378,0.5512409451449424,75.11909348125229
Italy,2011,Neurological,Alzheimer's,6.465325106499335,7.762632797806621,3.8365717565518573,0-18,Other,426509,46.24516987532873,7.8816908563669275,11.593660727037603,Therapy,40398.97610092935,Yes,91.60848035210208,7000.147181305307,18.114278038610507,35704.95263342395,0.6626528044989709,90.47037277756955
USA,2022,Infectious,Hepatitis,8.913779080595058,2.89138743871219,6.125112149414777,19-35,Male,83678,53.03249344906622,8.33453577728562,7.748093841555257,Combined,33046.48727472723,Yes,57.479809957264955,4411.060939117812,-2.259083361482812,31479.5898468662,0.5027946158801895,54.57302721989922
Australia,2013,Infectious,HIV,11.037554121844307,2.9501004008604403,7.97792063739698,65+,Other,493799,86.4615074678911,6.630783596241008,4.164455906410148,Therapy,34836.1787530875,Yes,52.25047097112296,4383.418790683375,9.343654109880791,61519.41800286669,0.4905980777461776,85.15631478614058
Brazil,2022,Neurological,Multiple Sclerosis,7.772715537565228,9.069592612187233,6.3205281646041245,65+,Female,902561,69.19789328317067,2.625292939738415,9.028267297154642,Medication,26346.84887534543,Yes,90.45116814525198,2634.343441693698,5.911592021621679,39095.41465098809,0.7631601805503333,50.2208522670559
Spain,2013,Chronic,Diabetes,12.228361221142299,3.662337117716331,7.028394475648543,0-18,Female,931200,62.0042302937791,8.143721025833445,4.2462523739869615,Combined,27995.69665572741,Yes,77.00540878983,7011.4945796537395,5.049617580884728,11432.665437392143,0.7695046151550373,43.730246223710374
Russia,2014,Neurological,Multiple Sclerosis,10.860118131817753,0.7238523678588238,6.007875651385615,19-35,Female,276241,50.940684721568196,9.098115033176493,3.7035227215098,Medication,3388.0825995947894,Yes,90.55736364629178,154.18146953680366,12.620734857615634,31581.119274288638,0.7373527513234172,40.007085360331025
Australia,2020,Neurological,Parkinson's,9.26459276627581,6.045907365436555,7.1739372959732375,0-18,Other,924732,91.11052627803875,6.704165287505056,2.3125893461168374,Medication,12615.077035578382,No,60.43874606551468,5176.409539050319,-1.7607909950378402,65647.40795590187,0.8391150744859865,71.93483503218722
India,2011,Chronic,Cancer,2.3468129559020374,1.3356949235142426,0.7027189921799146,51-65,Other,848264,93.31769715923329,3.476060865689775,5.841942526932807,Combined,36124.24446051383,No,90.7989789230009,135.2910748133569,15.49864522598152,58002.063649461554,0.5968248055873118,82.83071678635625
USA,2013,Chronic,Diabetes,12.555641752582368,7.986302789938291,7.446459631954999,51-65,Male,442272,70.6020030144969,2.6142464951623294,8.584124634055506,Combined,47276.528960677475,No,54.67021028182516,5975.332307272265,-4.335014309974063,69713.2787076584,0.7726870823669436,85.26425081989385
Canada,2010,Chronic,Cancer,14.044993221265258,6.453289780760468,3.2316086144326834,0-18,Other,57868,94.35520831769321,3.0831671953282855,3.230586651153372,Combined,27134.869783887712,No,93.2769486732605,405.9742667542568,9.457521551278168,15996.989711245853,0.3067269374466693,65.88599869835146
Canada,2011,Chronic,Arthritis,2.1407803447584928,8.75979240168996,7.380752363915512,19-35,Female,718496,67.42254878916798,1.152138286313174,3.8060966975044592,Combined,36307.00747966065,Yes,90.30414948140354,9406.664090986622,0.6339999865467307,23294.121026437755,0.8924577495062087,43.22962821916489
Brazil,2010,Chronic,Arthritis,7.374792828558115,7.869888772848089,0.6982894159298569,19-35,Male,185417,46.327305942430606,1.0915173195991117,6.475949196610504,Medication,34210.63554365499,No,77.79940191438237,4831.7422459897,11.686722979872322,21105.144971041213,0.8515399933544727,41.966929802535404
Australia,2019,Neurological,Multiple Sclerosis,3.957442255360517,1.2099251185481419,5.750419361256973,36-50,Female,15141,41.005334987125345,3.6733457876116247,7.853442945594428,Combined,49969.277621203124,No,79.8086547569559,6871.825040650112,8.135797345101652,77849.96171381751,0.8048093655742381,90.45433679477287
Australia,2019,Cardiovascular,Stroke,11.342397280640913,3.8725996967007807,5.911941114494615,65+,Male,742250,47.57429056187648,9.306637428462617,11.6719645083127,Surgery,39770.72150702413,Yes,66.94636564114774,8550.62489819443,19.99380577393539,17669.330811199514,0.6526599986613975,45.11171986435688
South Korea,2022,Cardiovascular,Heart Disease,10.85228157647003,7.768146474154414,7.975596025452404,0-18,Other,636421,76.73672364816854,6.591947102855616,8.932794310625052,Therapy,31419.601955880084,Yes,59.879191563646295,2430.6789300321416,16.558063535077114,49844.75417416866,0.6264925983496284,83.1565626040869
South Korea,2013,Respiratory,Bronchitis,2.199188296498941,4.231680585336624,6.173956638449528,65+,Male,199134,58.933406621245226,4.474963532295234,9.647814982577813,Therapy,5846.449854101635,Yes,72.31646651853141,5446.533631133167,3.415818548383619,52468.5198920256,0.3900781037167708,43.82618968677444
South Korea,2013,Cardiovascular,Stroke,13.167706341798393,9.726418299321786,3.122332275943293,65+,Other,786858,78.25023119292253,1.097628064483601,10.746946332606733,Surgery,18196.83409923104,Yes,82.2151536247602,8648.150883984847,8.212060727442354,51417.00647036186,0.33237792888931755,50.0841586674927
France,2016,Cardiovascular,Heart Disease,2.7964986532722342,7.383830453945147,4.502263557786508,51-65,Other,951462,69.97059127140407,9.90730136822301,7.313761082462614,Medication,12609.87788149038,Yes,98.92477813483848,5423.958719291388,2.945301271828731,56874.72800215329,0.45352609301555835,48.95766726947965
Australia,2019,Neurological,Multiple Sclerosis,11.9791594821568,0.25344917523417815,2.995752411516063,51-65,Female,68409,59.64774191148936,5.102599491343405,5.8038666850086384,Medication,42698.41409909845,Yes,90.04540022919505,3988.4477124255222,13.219837291354384,41294.12343210821,0.39058767501379094,55.24089666952054
Japan,2020,Chronic,Diabetes,6.909007358457273,8.811858346452281,1.6485472979083793,0-18,Other,664318,52.902108170403224,9.923525502849694,12.20589037228422,Therapy,22364.033395087,Yes,71.28108399635865,3751.8110953755754,5.560328415141196,11276.62115509047,0.6364926291565247,62.30964724388558
Germany,2020,Chronic,Arthritis,4.991257174016453,1.0979673701987203,2.063168387267961,0-18,Other,208815,44.78158088475766,7.481259597548949,12.596485838693402,Vaccination,26811.453380955227,Yes,86.4191447902378,3902.672764913274,-2.114055924175491,57592.70820638574,0.4995297580034621,46.859929375038504
India,2018,Neurological,Multiple Sclerosis,2.4577650138457816,1.49118486938285,1.8538832207671356,19-35,Other,467120,86.16107262141216,1.461149660066447,3.155749286328801,Surgery,48244.682654500466,No,55.29432763175358,6192.7697545114515,11.520096895799998,26082.864908063177,0.5327143882422386,93.52373453510518
France,2018,Cardiovascular,Heart Disease,2.597452416584778,7.371474766049404,4.435641108289382,0-18,Female,8489,88.32124668876196,8.731230760695125,14.347173350229587,Surgery,41850.5217023583,No,70.33676630077478,552.0453406265243,-4.723373802949,10690.395230498727,0.31583509435629387,40.11018228106758
Italy,2014,Neurological,Parkinson's,9.962169265043414,8.663188738361754,7.258669012801957,19-35,Other,943337,71.94559797738467,5.773594553386096,14.01891830187078,Therapy,39512.030985981306,No,70.82130452009504,4212.290458363833,2.432251924530295,17733.94859924559,0.6291706006652868,82.46651563439175
France,2019,Respiratory,Tuberculosis,8.301412780412095,5.409861316205604,7.310540346098341,19-35,Female,402562,49.268585696072556,5.07455567382483,13.192289378649983,Combined,7196.760755977022,No,98.94236674944878,5649.832374593528,17.678576711039085,26541.4701808861,0.693698781770682,68.95794318556872
Japan,2010,Chronic,Cancer,1.9190727826033676,2.961592356163214,0.5326338424540216,0-18,Male,913303,55.548213720269075,7.820665309953564,6.9172178616452475,Vaccination,1236.1442746022974,No,69.15973323319187,7885.169795593184,-2.645642220223677,37432.967960642105,0.5006430851708457,44.706707675714334
Italy,2010,Infectious,Influenza,1.7791981205310454,3.578023898006438,0.7312052675199588,19-35,Female,170446,96.35356936600435,7.973208393863379,12.790497747709882,Medication,6364.862957352274,No,54.080798542088466,5346.938081518822,7.610643511555205,69599.26468923783,0.3787517894366602,46.6017530498082
India,2015,Respiratory,COVID-19,1.1774275641145928,3.4946043630009545,2.0364405516615136,65+,Female,701413,53.33050683376036,8.167867747756684,9.79281982640049,Medication,37040.1381976565,Yes,53.294169619380305,9269.110077633417,14.87721212925289,45237.69182798301,0.7222364953646481,72.44995726949213
Japan,2011,Respiratory,Tuberculosis,11.182133475865808,3.3341132277141714,2.114969674508852,19-35,Other,742182,43.351483229964614,7.844827194239302,3.875526350434368,Medication,20594.818108227915,Yes,84.22083486164294,4493.352624466856,17.61255303225945,40397.544109668415,0.3773894170574609,57.33893650701302
UK,2017,Neurological,Parkinson's,10.70704306991641,2.504805751034333,0.8496244843900838,65+,Female,44235,72.45291884283806,6.771430467925421,11.848362273740937,Medication,5961.732360319255,No,64.16556139022407,6542.862096447877,8.9959574008936,19344.335073666167,0.7901138316318945,64.76041718752856
Germany,2022,Cardiovascular,Heart Disease,0.9706217637331697,6.127784236829407,3.16886039527018,65+,Male,826860,55.45292349560179,7.0806008379637575,6.685329931443069,Surgery,36977.073227332854,No,92.57675893520144,274.05301666248926,-1.1704649874214113,76944.70386426017,0.6276134600471481,70.20540108879095
India,2018,Chronic,Cancer,8.448024126394897,9.014012653794165,4.743030602261169,65+,Female,654952,96.48865926552205,8.72724327432066,5.090303990250925,Surgery,9809.743238407129,No,73.66443698902742,2460.635867166054,18.521435470764743,73138.69463000189,0.44246648136089606,71.5341473402762
Australia,2022,Infectious,HIV,1.3616747131160796,3.140115889525078,4.667481384735763,36-50,Other,451453,73.91130577090115,7.21486560839287,13.296091028051414,Combined,29493.2611515956,No,66.18824684559954,8173.027729346043,13.73147114542385,66205.79225723975,0.8392374228112653,72.04358660235023
South Korea,2013,Respiratory,Tuberculosis,13.565811982073232,1.9482735448679798,4.3930944819428825,36-50,Male,111665,96.98306934755375,1.9122174980343734,13.071881831999722,Surgery,37102.98675721161,Yes,87.1966104879397,5903.529046035498,4.891758939712478,29236.342119306304,0.38506338149370034,43.852785179949635
UK,2014,Infectious,Malaria,13.616049545783973,8.401918897077106,2.775508206611228,19-35,Other,19796,86.34902115695874,6.809505652070685,13.101225419135918,Combined,30442.22517979047,Yes,70.45909306241379,9467.113304203034,1.92451853180342,47122.071822359714,0.6607101937858013,80.72631936959755
Brazil,2020,Cardiovascular,Heart Disease,10.503671548215639,7.443654975808062,5.680999914000987,0-18,Other,508927,82.66200353135736,2.529943999554186,13.033329845561244,Combined,49682.463387892356,No,86.13178304632206,7553.476729431242,-3.8070877647810875,34163.52494519136,0.6705067750005792,56.14272897693105
India,2017,Cardiovascular,Hypertension,13.900214929447804,9.315286612443114,6.629223133750464,19-35,Female,262946,88.99151041981712,1.1282766617549547,8.759207321661023,Medication,21764.719756122442,No,84.99050461987635,4551.67219667786,-0.2142208588557466,35218.56092502945,0.3223844361040794,46.29369864657557
Brazil,2012,Infectious,Influenza,12.19065015316399,1.7386453824886055,2.835566705171527,36-50,Other,179638,75.68824651063449,2.9275005004728545,9.636884595885016,Medication,15659.073871737146,No,85.43736050812726,7809.241553975696,14.441926584811846,10409.851682287126,0.6658284521156989,45.62104916974562
Italy,2014,Chronic,Cancer,12.445224781313035,1.5280880097542564,0.7757293384657498,51-65,Male,581064,40.656156298072126,2.3896448510745643,14.284117867891016,Surgery,10139.71433698593,No,91.99897174205668,4731.089138077715,-2.284309193653823,15503.343677790439,0.716529950711619,53.03585959601887
UK,2012,Cardiovascular,Heart Disease,8.588646973492004,5.460151003619467,2.4410089836256668,51-65,Male,459673,63.15542219185639,1.9188616160399032,2.8107758598588175,Surgery,25238.603595663313,No,91.57157047762927,3368.671827073793,-1.7646866325047568,77087.6589631727,0.8460794019262066,74.57739525162307
Germany,2021,Infectious,HIV,4.66028205342102,6.182893182867443,1.185212371141732,19-35,Male,500478,52.92206717951133,2.9348809741511666,12.287659413663699,Combined,42638.74901854334,No,82.56580426793192,566.2511126313486,-0.1016824514509942,50756.28651926246,0.7253606324851001,65.95576253269498
Australia,2019,Respiratory,COVID-19,3.3452068152346817,4.8537170744099365,3.792133945094729,36-50,Male,379573,65.62444773031714,6.0721240555032026,8.367748340508452,Therapy,47351.06797745295,Yes,96.89113172468335,8669.671301816747,4.883543246311238,5473.22061727276,0.5906584202555216,45.88907603018041
Australia,2012,Infectious,HIV,4.975280328380045,6.029769699606367,1.3318876953970185,65+,Female,331840,67.76242192579132,2.3632282274769327,14.6977053914408,Medication,48605.538159667136,No,51.01564696048356,4247.523185305502,-0.27322135974431205,65688.94682689395,0.811980010983052,41.77939719661497
Japan,2012,Infectious,Malaria,9.464581908327025,1.8857597118632066,3.756473585498021,36-50,Male,946685,47.54203294406827,3.514944493073922,9.94913244213453,Vaccination,26615.77908996809,No,95.59072263588935,6883.185821741768,17.60758759721926,11528.121444209331,0.5122713704999386,41.35661278378456
Australia,2022,Neurological,Multiple Sclerosis,2.672582383902744,4.848176166224425,1.8459228493647175,19-35,Female,397587,41.38246138445273,8.646328991915997,3.2756186552755,Therapy,30302.491242754815,Yes,57.26441759633704,1615.2889044467372,1.4413837216889345,58111.681857904136,0.813308956648066,63.16004991158696
Russia,2021,Cardiovascular,Stroke,3.953739525896092,6.615116353302711,5.935975733152983,36-50,Other,60435,48.15381730753258,8.992461470752424,12.416873698708255,Medication,29118.834257640243,Yes,60.37051036588824,8306.727333822335,17.987190311602443,51563.676621974395,0.8063822110153369,83.34764105997651
China,2016,Chronic,Diabetes,7.07410685565242,4.383793847562167,0.31778910260318055,51-65,Other,829452,90.58820078700849,3.997759301078207,10.41740189986151,Medication,23352.022528063004,Yes,90.0525534018764,8259.584415783032,19.623575521273008,9721.344545006563,0.6621958072236422,71.54962524660006
France,2016,Chronic,Arthritis,3.572446468016772,6.826528624584319,4.482495800272212,65+,Female,786926,84.59539749628331,9.090559908021321,3.084989049567203,Surgery,7696.766734405218,Yes,69.62133865112816,4873.261202872951,13.870083910531498,44820.437795677695,0.5067739948863329,84.53231027002792
South Korea,2016,Neurological,Parkinson's,8.870790678769318,4.566793677483012,1.438957371868448,19-35,Other,244161,87.13468138661807,6.271549931015106,1.125890259723461,Vaccination,3366.388469602463,Yes,70.84021166915461,6754.232610266098,-4.814073510926487,8557.648110467748,0.6547232370761003,57.5663723275446
USA,2019,Chronic,Diabetes,13.855322823999314,3.402635850338545,0.10783572931005385,19-35,Other,561407,56.30209054070905,3.037315639874719,8.61106216311973,Vaccination,21888.230995311405,Yes,62.80012109434247,5262.393034639841,1.0005029391635958,9829.231221582799,0.8435388423506751,47.71875846569107
Germany,2017,Infectious,Malaria,11.246531548976584,3.1056899661622146,6.966680695711976,0-18,Male,886196,53.929852210526974,7.788640646254276,4.380847551885688,Medication,9389.767994355649,No,60.99761855085658,5567.433123483495,1.6833353436468315,8838.412860376051,0.6819237264506178,84.16508838125043
UK,2014,Neurological,Parkinson's,10.029756550818805,4.167930383987021,5.405069523731134,65+,Other,768144,42.20497215208144,9.298847302640183,13.141380846278844,Combined,44343.9220795748,No,55.205782286424935,8899.13551516866,8.568864709737518,24158.092771519707,0.8040077059506212,80.03129490824409
China,2014,Respiratory,Tuberculosis,8.782549992158303,0.32858726455378817,0.8816482941991349,19-35,Other,68653,67.8638392074588,6.933122448233439,4.513019182089934,Vaccination,38108.82724881143,Yes,59.64178980266827,9672.465740272017,-1.0401574253883479,65132.69615701529,0.5067756651171438,72.4008985650777
Germany,2023,Cardiovascular,Heart Disease,7.370423847930266,6.718398870616526,5.346171704702459,36-50,Female,728252,62.56212265071992,2.8119765575417905,10.279986168599352,Therapy,30958.49452848182,No,77.77057102489482,3738.2395367229956,-3.0696211726400593,32184.10499777533,0.475386023149806,88.82679803462122
UK,2013,Cardiovascular,Hypertension,2.87980150855643,8.466545845704593,4.932013928627028,36-50,Male,166446,89.31727991858929,1.7729206900694552,5.831821501626405,Combined,2465.8575571995234,No,84.62383522898176,3384.157949813295,-0.5910564472248367,52965.368466250526,0.4535081609005876,74.68740582064927
South Korea,2016,Cardiovascular,Heart Disease,13.431185785860297,3.610808234986874,3.8395178276413064,36-50,Other,522105,80.23018595305973,3.06470773635577,5.904452699049138,Surgery,31150.04616725057,Yes,86.20312453912035,3107.6936171871093,3.1837991594554733,14363.67595521623,0.5947502899206027,68.91985276105721
Spain,2019,Infectious,HIV,3.8031864299912614,0.5557280478030138,3.4121389775623507,36-50,Other,391862,48.51287015650882,4.04657654877415,3.5454077231728864,Medication,31091.353016180623,Yes,68.13603658146206,7730.512058710756,-3.7697507485550603,74964.85580612949,0.559185635069847,67.62705281710333
Spain,2013,Respiratory,Bronchitis,1.4605022759145954,9.86907841411702,7.107851127034306,19-35,Female,33839,98.24215328520884,4.00361773606327,8.038104137873987,Medication,22016.64176066722,No,95.17578403953974,7256.684850343044,-0.11589416691608179,42818.05815732941,0.8125325504004235,73.9556271615433
Brazil,2011,Neurological,Alzheimer's,11.275226170507558,2.710612728965563,2.036669357189865,51-65,Other,243491,85.46780324710357,5.486913397122765,9.109803770663994,Therapy,32921.8742450135,No,66.10767477571238,533.6207528876603,-0.8120008502919953,6844.617406350926,0.3675613277898953,68.41439318872146
Germany,2013,Neurological,Parkinson's,2.7166714615343794,1.3535491047386528,3.2466494504057284,65+,Male,228507,82.4940134253375,5.546522944287541,9.134191511540969,Therapy,42909.93509681111,Yes,55.44569552652585,975.5648179869822,14.308983166914405,45305.49976789323,0.6324281422378679,54.99857406909648
Spain,2022,Cardiovascular,Hypertension,5.6412503931635225,3.760549828932977,2.7000117618691357,36-50,Male,597175,52.78031937382131,5.2428935045362275,12.992542171072309,Surgery,37923.54400951393,Yes,96.3159156815943,6497.428513034061,-0.7606499534494393,18839.759440135364,0.5420439165651837,92.46298807914388
Russia,2022,Respiratory,Bronchitis,0.521445431535598,7.411714702272211,6.192488129389405,19-35,Male,930968,93.4042394363577,4.094414882946191,10.132862024345696,Surgery,23724.366725671964,No,76.49317992114153,2822.090379816895,14.788488127770641,19686.231569807434,0.8625419121650693,92.69338748467817
UK,2017,Respiratory,Bronchitis,2.1423123438526765,3.0097743092166005,7.340075919237061,19-35,Female,919210,67.96132587177816,1.9614742645483432,11.363329664970362,Vaccination,13187.996467138111,No,97.59743488367246,1006.645129043007,7.704553801241747,50028.08778061943,0.7730336814105963,49.17653207586922
Brazil,2018,Respiratory,Bronchitis,2.68073409832269,5.789561718802929,6.8132754200478205,36-50,Male,16660,57.56170121912269,4.764864623487357,5.528274746598819,Combined,23944.081093564324,No,69.28966110597224,4195.270746845574,13.946354488103612,21978.762214404825,0.5600106156614852,69.18271506743082
Australia,2012,Chronic,Arthritis,0.9107109034776515,4.214043944927708,6.401861049368171,0-18,Male,215920,78.63518169819902,9.871843082070917,6.889598832988732,Medication,47303.94471701506,Yes,87.11227088673473,8787.08000969866,6.258922642421867,21048.580357509793,0.6843680834410479,83.42887330336117
UK,2016,Chronic,Arthritis,9.884188653680393,1.2658635235385232,7.895640570003655,19-35,Male,63323,52.493365698197955,6.884873857760029,1.256096497309867,Vaccination,41017.32929441582,No,55.386899609994046,3726.4866567833765,17.526379365475865,45571.98786705699,0.7473547260841102,43.012667841584076
Brazil,2023,Cardiovascular,Stroke,12.571416157466446,3.3698414236718914,5.607441948242043,65+,Male,921302,93.54637221354878,4.957996124834242,2.1075307497834284,Surgery,1449.2805185996647,Yes,91.84987744806764,6986.737383955499,1.9129670599629485,22659.458856580895,0.34268490707661226,46.79594957896278
